note,source_pdf,updated,updates,reason,doi,arxiv_id,external_source,old_title,new_title,old_authors,new_authors,old_venue,new_venue,old_year,new_year
papers/notes/2023-zadu-library.md,papers/raw/ZADU_A_Python_Library_for_Evaluating_the_Reliability_of_Dimensionality_Reduction_Embeddings.pdf,true,"authors,venue",title:crossref;authors:crossref;venue:crossref,10.1109/VIS54172.2023.00048,,crossref_doi,ZADU: A Python Library for Evaluating the Reliability of Dimensionality Reduction Embeddings,ZADU: A Python Library for Evaluating the Reliability of Dimensionality Reduction Embeddings,UNKNOWN,"Hyeon Jeon, Aeri Cho, Jinhwa Jang, Soohyun Lee, Jake Hyun, Hyung-Kwon Ko, Jaemin Jo, Jinwook Seo",UNKNOWN,2023 IEEE Visualization and Visual Analytics (VIS),2023,2023
papers/notes/2026-zadu-readme-warning.md,https://github.com/hj-n/zadu/blob/master/README.md,false,,,,,,ZADU README Operational Warning for Label-Separation-Sensitive Metrics,ZADU README Operational Warning for Label-Separation-Sensitive Metrics,UNKNOWN,UNKNOWN,GitHub README,GitHub README,2026,2026
papers/notes/2506.08725v2-stop-misusing-tsne-umap.md,papers/raw/2506.08725v2.pdf,true,authors,authors:pdf,10.1145/nnnnnnn.nnnnnnn,2506.08725,,Stop Misusing t-SNE and UMAP for Visual Analytics,Stop Misusing t-SNE and UMAP for Visual Analytics,UNKNOWN,Hyeon Jeon,UNKNOWN,UNKNOWN,2025,2025
papers/notes/pending-extra-1-s2-0-s003132039900-1-s2-0-s0031320399000783-main.md,papers/raw/pending-references/1-s2.0-S0031320399000783-main.pdf,true,"authors,title",title:pdf;authors:pdf,,,,1-s2.0-S0031320399000783-main,Pattern Recognition 33 (2000) 651}669 Data visualization by multidimensional scaling:,UNKNOWN,*Corresponding author.,UNKNOWN,UNKNOWN,2000,2000
papers/notes/pending-extra-1-s2-0-s016786551000-1-s2-0-s0167865510001364-main.md,papers/raw/pending-references/1-s2.0-S0167865510001364-main.pdf,true,"authors,title,venue",title:crossref;authors:crossref;venue:crossref,10.1016/j.patrec.2010.04.013,,crossref_doi,1-s2.0-S0167865510001364-main,Scale-independent quality criteria for dimensionality reduction,UNKNOWN,"John A. Lee, Michel Verleysen",UNKNOWN,Pattern Recognition Letters,2010,2010
papers/notes/pending-extra-1-s2-0-s092523120600-1-s2-0-s0925231206004814-main.md,papers/raw/pending-references/1-s2.0-S0925231206004814-main.pdf,true,"authors,title,venue",title:crossref;authors:crossref;venue:crossref,10.1016/j.neucom.2006.11.018,,crossref_doi,1-s2.0-S0925231206004814-main,Visualizing distortions and recovering topology in continuous projection techniques,UNKNOWN,Michaël Aupetit,UNKNOWN,Neurocomputing,2007,2007
papers/notes/pending-extra-1-s2-0-s092523121401-1-s2-0-s0925231214012867-main.md,papers/raw/pending-references/1-s2.0-S0925231214012867-main.pdf,true,"authors,title,venue",title:crossref;authors:crossref;venue:crossref,10.1016/j.neucom.2014.07.071,,crossref_doi,1-s2.0-S0925231214012867-main,LoCH: A neighborhood-based multidimensional projection technique for high-dimensional sparse spaces,UNKNOWN,"Samuel G. Fadel, Francisco M. Fatore, Felipe S.L.G. Duarte, Fernando V. Paulovich",UNKNOWN,Neurocomputing,2015,2015
papers/notes/pending-extra-1-s2-0-s092523121401-1-s2-0-s0925231214012909-main.md,papers/raw/pending-references/1-s2.0-S0925231214012909-main.pdf,true,"authors,title,venue",title:crossref;authors:crossref;venue:crossref,10.1016/j.neucom.2014.09.063,,crossref_doi,1-s2.0-S0925231214012909-main,Graph-based measures to assist user assessment of multidimensional projections,UNKNOWN,"Robson Motta, Rosane Minghim, Alneu de Andrade Lopes, Maria Cristina F. Oliveira",UNKNOWN,Neurocomputing,2015,2015
papers/notes/pending-extra-1-s2-0-s147692711630-1-s2-0-s1476927116304108-main.md,papers/raw/pending-references/1-s2.0-S1476927116304108-main.pdf,true,"authors,title,venue",title:crossref;authors:crossref;venue:crossref,10.1016/j.compbiolchem.2016.09.010,,crossref_doi,1-s2.0-S1476927116304108-main,Comparison among dimensionality reduction techniques based on Random Projection for cancer classification,UNKNOWN,"Haozhe Xie, Jie Li, Qiaosheng Zhang, Yadong Wang",UNKNOWN,Computational Biology and Chemistry,2016,2016
papers/notes/pending-extra-1-s2-0-s187705091100-1-s2-0-s1877050911001141-main.md,papers/raw/pending-references/1-s2.0-S1877050911001141-main.pdf,true,"authors,title,venue",title:crossref;authors:crossref;venue:crossref,10.1016/j.procs.2011.04.056,,crossref_doi,1-s2.0-S1877050911001141-main,Shift-invariant similarities circumvent distance concentration in stochastic neighbor embedding and variants,UNKNOWN,"John A. Lee, Michel Verleysen",UNKNOWN,Procedia Computer Science,2011,2011
papers/notes/pending-extra-10-5923-j-ajsp-20130-10-5923-j-ajsp-20130303-01.md,papers/raw/pending-references/10.5923.j.ajsp.20130303.01.pdf,true,"authors,venue",authors:crossref;venue:crossref,10.5923/j.ajsp.20130303.01,,crossref_title,10.5923.j.ajsp.20130303.01,10.5923.j.ajsp.20130303.01,UNKNOWN,"Tetsuya Takiguchi, Jeff Bilmes, Mariko Yoshii, Yasuo Ariki",UNKNOWN,"2010 IEEE International Conference on Acoustics, Speech and Signal Processing",2013,2013
