note,title,authors,year,source_pdf
papers/notes/pending-extra-friedman-exploratory-friedman-exploratoryprojectionpursuit-1987.md,Friedman-ExploratoryProjectionPursuit-1987,Exploratory Projection Pursuit,1987,papers/raw/pending-references/Friedman-ExploratoryProjectionPursuit-1987.pdf
papers/notes/pending-extra-rkharal2006-rkharal2006.md,Semideﬁnite Embedding for the Dimensionality Reduction of DNA Microarray Data,Reduction of DNA Microarray Data,2006,papers/raw/pending-references/rkharal2006.pdf
papers/notes/pending-extra-weinberger05a-weinberger05a.md,Nonlinear Dimensionality Reduction by Semideﬁnite Programming and Kernel Matrix Factorization,Programming and Kernel Matrix Factorization,2000,papers/raw/pending-references/weinberger05a.pdf
papers/notes/pending-ref-004-information-retrieval-perspective-to-nonlinear-dimensional.md,Information retrieval perspective to nonlinear dimensionality reduction for data visualization,"J. V enna, J. Peltonen, K. Nybo, H. Aidos, and S. Kaski",2010,papers/raw/pending-references/pending-ref-004-2010-information-retrieval-perspective-to-nonlinear-dimensionality-reduction-for-data-visu.pdf
papers/notes/pending-ref-014-charting-a-manifold.md,Charting a manifold,M. Brand,2002,papers/raw/pending-references/pending-ref-014-2002-charting-a-manifold.pdf
papers/notes/pending-ref-022-human-cluster-evaluation-and-formal-quality-measures-a-com.md,Human cluster evaluation and formal quality measures: A comparative study,"Joshua Lewis, Margareta Ackerman, and Virginia de Sa",2012,papers/raw/pending-references/pending-ref-022-2012-human-cluster-evaluation-and-formal-quality-measures-a-comparative-study.pdf
papers/notes/pending-ref-023-visual-quality-metrics-and-human-perception-an-initial-stu.md,Visual quality metrics and human perception: an initial study on 2D projections of large multidimensional data,"Andrada Tatu, Peter Bak, Enrico Bertini, Daniel Keim, and Joern Schneidewind",2010,papers/raw/pending-references/pending-ref-023-2010-visual-quality-metrics-and-human-perception-an-initial-study-on-2d-projections-of-lar.pdf
papers/notes/pending-ref-024-viscoder-a-tool-for-visually-comparing-dimensionality-redu.md,VisCoDeR: A tool for visually comparing dimensionality reduction algorithms,"René Cutura, Stefan Holzer, Michaël Aupetit, and Michael Sedlmair",2018,papers/raw/pending-references/pending-ref-024-2018-viscoder-a-tool-for-visually-comparing-dimensionality-reduction-algorithms.pdf
papers/notes/pending-ref-029-stability-comparison-of-dimensionality-reduction-technique.md,Stability Comparison of Dimensionality Reduction Techniques Attending to Data and Parameter Variations,"Francisco J. García-Fernández, Michel Verleysen, John A. Lee, and Ignacio Díaz",2013,papers/raw/pending-references/pending-ref-029-2013-stability-comparison-of-dimensionality-reduction-techniques-attending-to-data-and-par.pdf
papers/notes/pending-ref-035-stress-maps-analysing-local-phenomena-in-dimensionality-re.md,Stress Maps: Analysing Local Phenomena in Dimensionality Reduction Based Visualisations,"Christin Seifert, Vedran Sabol, and Wolfgang Kienreich",2010,papers/raw/pending-references/pending-ref-035-2010-stress-maps-analysing-local-phenomena-in-dimensionality-reduction-based-visualisation.pdf
papers/notes/pending-ref-037-attribute-based-visual-explanation-of-multidimensional-pro.md,Attribute-based Visual Explanation of Multidimensional Projections,"Renato R. O. da Silva, Paulo E. Rauber, Rafael M. Martins, Rosane Minghim, and Alexandru C. Telea",2015,papers/raw/pending-references/pending-ref-037-2015-attribute-based-visual-explanation-of-multidimensional-projections.pdf
papers/notes/pending-ref-045-a-behavioral-investigation-of-dimensionality-reduction.md,A behavioral investigation of dimensionality reduction,"J. Lewis, L. van der Maaten, and V. de Sa",2012,papers/raw/pending-references/pending-ref-045-2012-a-behavioral-investigation-of-dimensionality-reduction.pdf
papers/notes/pending-ref-047-visualizing-dimensionality-reduction-artifacts-an-evaluati.md,Visualizing dimensionality reduction artifacts: An evaluation,"N. Heulot, J. Fekete, and M. Aupetit",2017,papers/raw/pending-references/pending-ref-047-2017-visualizing-dimensionality-reduction-artifacts-an-evaluation.pdf
papers/notes/pending-ref-048-linear-dimensionality-reduction-survey-insights-and-genera.md,"Linear dimensionality reduction: Survey, insights, and generalizations",John P Cunningham and Zoubin Ghahramani,2015,papers/raw/pending-references/pending-ref-048-2015-linear-dimensionality-reduction-survey-insights-and-generalizations.pdf
papers/notes/pending-ref-051-explaining-neighborhood-preservation-for-multidimensional.md,Explaining Neighborhood Preservation for Multidimensional Projections,"Rafael Messias Martins, Rosane Minghim, and AC Telea",2015,papers/raw/pending-references/pending-ref-051-2015-explaining-neighborhood-preservation-for-multidimensional-projections.pdf
papers/notes/pending-ref-056-selecting-and-sharing-multidimensional-projection-algorith.md,Selecting and Sharing Multidimensional Projection Algorithms: A Practical View,"Mateus Espadoto, Eduardo Faccin Vernier, and Alexandru Telea",2020,papers/raw/pending-references/pending-ref-056-2020-selecting-and-sharing-multidimensional-projection-algorithms-a-practical-view.pdf
papers/notes/pending-ref-060-proxilens-interactive-exploration-of-high-dimensional-data.md,ProxiLens: Interactive Exploration of High-Dimensional Data using Projections,"Nicolas Heulot, Michael Aupetit, and Jean Daniel Fekete",2013,papers/raw/pending-references/pending-ref-060-2013-proxilens-interactive-exploration-of-high-dimensional-data-using-projections.pdf
papers/notes/pending-ref-064-experiments-with-random-projection.md,Experiments with random projection,S. Dasgupta,2000,papers/raw/pending-references/pending-ref-064-2000-experiments-with-random-projection.pdf
papers/notes/pending-ref-088-global-versus-local-methods-in-nonlinear-dimensionality-re.md,Global Versus Local Methods in Nonlinear Dimensionality Reduction,Vin Silva and Joshua Tenenbaum,2002,papers/raw/pending-references/pending-ref-088-2002-global-versus-local-methods-in-nonlinear-dimensionality-reduction.pdf
papers/notes/pending-ref-101-trimap-large-scale-dimensionality-reduction-using-triplets.md,TriMap: Large-scale Dimensionality Reduction Using Triplets,Ehsan Amid and Manfred K. Warmuth,2022,papers/raw/pending-references/pending-ref-101-2022-trimap-large-scale-dimensionality-reduction-using-triplets.pdf
papers/notes/pending-ref-111-the-art-of-seeing-the-elephant-in-the-room-2d-embeddings-o.md,The art of seeing the elephant in the room: 2D embeddings of single-cell data do make sense,"Jan Lause, Philipp Berens, and Dmitry Kobak",2024,papers/raw/pending-references/pending-ref-111-2024-the-art-of-seeing-the-elephant-in-the-room-2d-embeddings-of-single-cell-data-do-make.pdf
papers/notes/pending-ref-118-understanding-bias-in-perceiving-dimensionality-reduction.md,Understanding Bias in Perceiving Dimensionality Reduction Projections,"Seoyoung Doh, Hyeon Jeon, Sungbok Shin, Ghulam Jilani Quadri, Nam Wook Kim, and Jinwook Seo",2025,papers/raw/pending-references/pending-ref-118-2025-understanding-bias-in-perceiving-dimensionality-reduction-projections.pdf
papers/notes/pending-ref-121-understanding-how-dimension-reduction-tools-work-an-empiri.md,"Understanding How Dimension Reduction Tools Work: An Empirical Approach to Deciphering t-SNE, UMAP, TriMap, and PaCMAP for Data Visualization","Yingfan Wang, Haiyang Huang, Cynthia Rudin, and Yaron Shaposhnik",2021,papers/raw/pending-references/pending-ref-121-2021-understanding-how-dimension-reduction-tools-work-an-empirical-approach-to-deciphering.pdf
papers/notes/pending-ref-161-steering-distortions-to-preserve-classes-and-neighbors-in.md,Steering Distortions to Preserve Classes and Neighbors in Supervised Dimensionality Reduction,"Benoît Colange, Jaakko Peltonen, Michael Aupetit, Denys Dutykh, and Sylvain Lespinats",2020,papers/raw/pending-references/pending-ref-161-2020-steering-distortions-to-preserve-classes-and-neighbors-in-supervised-dimensionality-r.pdf
papers/notes/pending-ref-164-neighborhoodpreserving-embedding.md,Neighborhoodpreserving embedding,"HeX,CaiD,YanS,ZhangH",2005,papers/raw/pending-references/pending-ref-164-2005-neighborhoodpreserving-embedding.pdf
