note,updated,score,matched_title,matched_venue
2506.08725v2-stop-misusing-tsne-umap.md,false,0.485,Federated t-SNE and UMAP for Distributed Data Visualization,Proceedings of the AAAI Conference on Artificial Intelligence
pending-extra-1-s2-0-s003132039900-1-s2-0-s0031320399000783-main.md,false,0.433,Data visualization by multidimensional scaling: a deterministic annealing approach,Pattern Recognition
pending-extra-friedman-exploratory-friedman-exploratoryprojectionpursuit-1987.md,false,0.333,Friedman,The Servant Leader
pending-extra-large-manifold-book-large-manifold-book-chapter.md,false,0.174,"Mehryar Mohri, Afshin Rostamizadeh, and Ameet Talwalkar: Foundations of machine learning, second edition",Statistical Papers
pending-extra-rkharal2006-rkharal2006.md,false,0.408,Spline Embedding for Nonlinear Dimensionality Reduction,Lecture Notes in Computer Science
pending-extra-science-290-5500-231-science-290-5500-2319.md,false,0.25,2319,Ultrasound in Medicine &amp; Biology
pending-extra-weinberger05a-weinberger05a.md,false,0.357,Learning a kernel matrix for nonlinear dimensionality reduction,Twenty-first international conference on Machine learning - ICML '04
pending-ref-004-information-retrieval-perspective-to-nonlinear-dimensional.md,false,0.5,Nonlinear Dimensionality Reduction for Visualization,Lecture Notes in Computer Science
pending-ref-014-charting-a-manifold.md,false,0.333,Charting,The Essential Guide to Flex 2 with ActionScript 3.0
pending-ref-022-human-cluster-evaluation-and-formal-quality-measures-a-com.md,false,0.386,Evaluation of Human Prehension Using Grasp Quality Measures,International Journal of Advanced Robotic Systems
pending-ref-023-visual-quality-metrics-and-human-perception-an-initial-stu.md,false,0.675,Visual quality metrics and human perception,Proceedings of the International Conference on Advanced Visual Interfaces
pending-ref-024-viscoder-a-tool-for-visually-comparing-dimensionality-redu.md,false,0.385,Comparing and Exploring High-Dimensional Data with Dimensionality Reduction Algorithms and Matrix Visualizations,Proceedings of the International Conference on Advanced Visual Interfaces
pending-ref-026-umap-uniform-manifold-approximation-and-projection-for-dim.md,true,0.8,UMAP: Uniform Manifold Approximation and Projection,Journal of Open Source Software
pending-ref-029-stability-comparison-of-dimensionality-reduction-technique.md,false,0.438,Comparison and Evaluation of Dimensionality Reduction Techniques for Hyperspectral Data Analysis,The 2nd International Electronic Conference on Geosciences
pending-ref-035-stress-maps-analysing-local-phenomena-in-dimensionality-re.md,false,0.3,Local dimensionality reduction,Computational Statistics
pending-ref-037-attribute-based-visual-explanation-of-multidimensional-pro.md,false,0.444,Multidimensional Projections for Visual Analysis of Social Networks,Journal of Computer Science and Technology
pending-ref-045-a-behavioral-investigation-of-dimensionality-reduction.md,false,0.444,Investigation of Dimensionality Reduction on Classification accuracy,IARJSET
pending-ref-047-visualizing-dimensionality-reduction-artifacts-an-evaluati.md,false,0.364,An analysis of dimensionality reduction techniques for visualizing evolution,Proceedings of the Genetic and Evolutionary Computation Conference Companion
pending-ref-048-linear-dimensionality-reduction-survey-insights-and-genera.md,false,0.5,Linear Transformations and Dimensionality Reduction,Statistical Analysis Techniques in Particle Physics
pending-ref-051-explaining-neighborhood-preservation-for-multidimensional.md,false,0.4,Interactive tools for explaining multidimensional projections for high-dimensional tabular data,Computers &amp; Graphics
pending-ref-056-selecting-and-sharing-multidimensional-projection-algorith.md,false,0.322,Projection View,Definitions
pending-ref-060-proxilens-interactive-exploration-of-high-dimensional-data.md,false,0.5,Pollux: Interactive Cluster-First Projections of High-Dimensional Data,2019 IEEE Visualization in Data Science (VDS)
pending-ref-064-experiments-with-random-projection.md,false,0.667,Face recognition experiments with random projection,SPIE Proceedings
pending-ref-088-global-versus-local-methods-in-nonlinear-dimensionality-re.md,false,0.5,Dimensionality Reduction - Nonlinear Methods,Chapman &amp; Hall/CRC Computer Science &amp; Data Analysis
pending-ref-101-trimap-large-scale-dimensionality-reduction-using-triplets.md,false,0.417,Puzzle Imaging: Using Large-Scale Dimensionality Reduction Algorithms for Localization,PLOS ONE
pending-ref-111-the-art-of-seeing-the-elephant-in-the-room-2d-embeddings-o.md,false,1.3,The art of seeing the elephant in the room: 2D embeddings of single-cell data do make sense,
pending-ref-118-understanding-bias-in-perceiving-dimensionality-reduction.md,false,0.3,Interactive dimensionality reduction using similarity projections,Knowledge-Based Systems
pending-ref-121-understanding-how-dimension-reduction-tools-work-an-empiri.md,false,0.35,Understanding How Dimension Reduction Tools Work,International Conference on Statistics: Theory and Applications
pending-ref-146-progressive-uniform-manifold-approximation-and-projection.md,true,0.833,Uniform manifold approximation and projection,Nature Reviews Methods Primers
pending-ref-161-steering-distortions-to-preserve-classes-and-neighbors-in.md,false,0.427,Supervised dimensionality reduction technique accounting for soft classes,ESANN 2022 proceedings
pending-ref-164-neighborhoodpreserving-embedding.md,false,0.5,Embedding,Introduction to Deep Learning for Healthcare
pending-ref-169-horopca-hyperbolic-dimensionality-reduction-via-horospheri.md,false,0.375,Dimensionality reduction via discretization,Knowledge-Based Systems
zadu-ref-14-ref06-steering-distortions-to-preserve-classes-and-neighbors-in-supervised-dimen.md,false,0.331,Some classes of homeomorphisms that preserve multiplicity and tangent cones,Contemporary Mathematics
