candidate_id,paper_title,year,doi,official_url_1,official_url_2,official_url_3,official_url_4,official_url_5,official_url_6,official_url_7,official_url_8,official_url_9,official_url_10,official_url_11,official_url_12
pending-ref-003,Visualizing distortions and recovering topology in continuous projection techniques,2007,10.1016/j.neucom.2006.11.018,https://doi.org/10.1016/j.neucom.2006.11.018,https://www.sciencedirect.com/search?qs=10.1016/j.neucom.2006.11.018,https://api.elsevier.com/content/article/PII:S0925231206004814?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:S0925231206004814?httpAccept=text/plain,https://dl.acm.org/doi/pdf/10.1145/331499.331504,https://scholar.google.com/scholar?q=Visualizing%20distortions%20and%20recovering%20topology%20in%20continuous%20projection%20techniques,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Visualizing%20distortions%20and%20recovering%20topology%20in%20continuous%20projection%20techniques,https://dl.acm.org/action/doSearch?AllField=Visualizing%20distortions%20and%20recovering%20topology%20in%20continuous%20projection%20techniques,,,,
pending-ref-005,Sanity check for class-coloring-based evaluation of dimension reduction techniques,2014,10.1145/2669557.2669578,https://doi.org/10.1145/2669557.2669578,https://dl.acm.org/doi/10.1145/2669557.2669578,https://dl.acm.org/doi/pdf/10.1145/2669557.2669578,https://conference.scipy.org/proceedings/scipy2010/pdfs/proceedings.pdf,https://scholar.google.com/scholar?q=Sanity%20check%20for%20class-coloring-based%20evaluation%20of%20dimension%20reduction%20techniques,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Sanity%20check%20for%20class-coloring-based%20evaluation%20of%20dimension%20reduction%20techniques,https://dl.acm.org/action/doSearch?AllField=Sanity%20check%20for%20class-coloring-based%20evaluation%20of%20dimension%20reduction%20techniques,,,,,
pending-ref-011,Least Square Projection: A Fast High-Precision Multidimensional Projection Technique and Its Application to Document Mapping,2008,10.1109/TVCG.2007.70443,https://doi.org/10.1109/TVCG.2007.70443,https://ieeexplore.ieee.org/search/searchresult.jsp?newsearch=true&queryText=10.1109/TVCG.2007.70443,https://doi.org/10.1109/tvcg.2007.70443,http://xplorestaging.ieee.org/ielx5/2945/4472702/04378370.pdf?arnumber=4378370,https://pubmed.ncbi.nlm.nih.gov/18369264,http://producao.usp.br/handle/BDPI/28795,https://dl.acm.org/doi/pdf/10.1145/331499.331504,https://scholar.google.com/scholar?q=Least%20Square%20Projection%3A%20A%20Fast%20High-Precision%20Multidimensional%20Projection%20Technique%20and%20Its%20Application%20to%20Document%20Mapping,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Least%20Square%20Projection%3A%20A%20Fast%20High-Precision%20Multidimensional%20Projection%20Technique%20and%20Its%20Application%20to%20Document%20Mapping,https://dl.acm.org/action/doSearch?AllField=Least%20Square%20Projection%3A%20A%20Fast%20High-Precision%20Multidimensional%20Projection%20Technique%20and%20Its%20Application%20to%20Document%20Mapping,,
pending-ref-017,Graph-based measures to assist user assessment of multidimensional projections,2015,10.1016/j.neucom.2014.09.063,https://doi.org/10.1016/j.neucom.2014.09.063,https://www.sciencedirect.com/search?qs=10.1016/j.neucom.2014.09.063,https://api.elsevier.com/content/article/PII:S0925231214012909?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:S0925231214012909?httpAccept=text/plain,http://www.producao.usp.br/handle/BDPI/50995,http://www.producao.usp.br/handle/BDPI/49848,https://dl.acm.org/doi/pdf/10.1145/331499.331504,https://scholar.google.com/scholar?q=Graph-based%20measures%20to%20assist%20user%20assessment%20of%20multidimensional%20projections,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Graph-based%20measures%20to%20assist%20user%20assessment%20of%20multidimensional%20projections,https://dl.acm.org/action/doSearch?AllField=Graph-based%20measures%20to%20assist%20user%20assessment%20of%20multidimensional%20projections,,
pending-ref-020,Shift-invariant similarities circumvent distance concentration in stochastic neighbor embedding and variants,2011,10.1016/j.procs.2011.04.056,https://doi.org/10.1016/j.procs.2011.04.056,https://www.sciencedirect.com/search?qs=10.1016/j.procs.2011.04.056,https://api.elsevier.com/content/article/PII:S1877050911001141?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:S1877050911001141?httpAccept=text/plain,http://hdl.handle.net/2078.1/82315,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jcc.21287,https://pubmed.ncbi.nlm.nih.gov/19444816,http://hdl.handle.net/11585/886113,https://hdl.handle.net/2027.42/63074,http://doi.org/10.1002/jcc.21287,http://repository.hanyang.ac.kr/handle/20.500.11754/84391,https://scholar.google.com/scholar?q=Shift-invariant%20similarities%20circumvent%20distance%20concentration%20in%20stochastic%20neighbor%20embedding%20and%20variants
pending-ref-025,Data-driven evaluation of visual quality measures,2015,,https://doi.org/10.1111/cgf.12632,https://dl.acm.org/doi/10.5555/2858877.2858899,https://scholar.google.com/scholar?q=Data-driven%20evaluation%20of%20visual%20quality%20measures,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Data-driven%20evaluation%20of%20visual%20quality%20measures,https://dl.acm.org/action/doSearch?AllField=Data-driven%20evaluation%20of%20visual%20quality%20measures,,,,,,,
pending-ref-033,A Global Geometric Framework for Nonlinear Dimensionality Reduction,2000,10.1126/science.290.5500.2319,https://doi.org/10.1126/science.290.5500.2319,https://www.science.org/action/doSearch?AllField=10.1126/science.290.5500.2319,https://www.science.org/doi/pdf/10.1126/science.290.5500.2319,https://pubmed.ncbi.nlm.nih.gov/11125149,https://www.osti.gov/biblio/1348255,https://doi.org/10.1016/j.jcp.2016.01.040,https://scholar.google.com/scholar?q=A%20Global%20Geometric%20Framework%20for%20Nonlinear%20Dimensionality%20Reduction,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=A%20Global%20Geometric%20Framework%20for%20Nonlinear%20Dimensionality%20Reduction,https://dl.acm.org/action/doSearch?AllField=A%20Global%20Geometric%20Framework%20for%20Nonlinear%20Dimensionality%20Reduction,,,
pending-ref-163,Neighborhood Preserving Embedding Proc,2005,,https://doi.org/10.1021/ci025631m,https://pubmed.ncbi.nlm.nih.gov/12653511,https://dl.acm.org/doi/pdf/10.1145/331499.331504,https://scholar.google.com/scholar?q=Neighborhood%20Preserving%20Embedding%20Proc,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Neighborhood%20Preserving%20Embedding%20Proc,https://dl.acm.org/action/doSearch?AllField=Neighborhood%20Preserving%20Embedding%20Proc,,,,,,
pending-ref-172,Agreement Analysis of Quality Measures for Dimensionality Reduction,2017,10.1007/978-3-319-44684-4_6,https://doi.org/10.1007/978-3-319-44684-4_6,http://link.springer.com/content/pdf/10.1007/978-3-319-44684-4_6,http://www.jclinepi.com/article/S0895435606001740/pdf,https://pubmed.ncbi.nlm.nih.gov/17161752,https://research.vu.nl/en/publications/91e6bfa3-184f-4354-8cb1-10671000b230,http://hdl.handle.net/1871.1/825011ba-c36d-49ff-ad71-9f99b1348395,https://research.vu.nl/en/publications/825011ba-c36d-49ff-ad71-9f99b1348395,https://research.vumc.nl/en/publications/3fe2f308-1bb5-48f9-aae9-f285d9a895a0,https://scholar.google.com/scholar?q=Agreement%20Analysis%20of%20Quality%20Measures%20for%20Dimensionality%20Reduction,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Agreement%20Analysis%20of%20Quality%20Measures%20for%20Dimensionality%20Reduction,https://dl.acm.org/action/doSearch?AllField=Agreement%20Analysis%20of%20Quality%20Measures%20for%20Dimensionality%20Reduction,
pending-ref-174,Quality-based guidance for exploratory dimensionality reduction,2013,10.1177/1473871612460526,https://doi.org/10.1177/1473871612460526,https://journals.sagepub.com/doi/pdf/10.1177/1473871612460526,https://journals.sagepub.com/doi/full-xml/10.1177/1473871612460526,https://dl.acm.org/doi/pdf/10.1145/331499.331504,https://scholar.google.com/scholar?q=Quality-based%20guidance%20for%20exploratory%20dimensionality%20reduction,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Quality-based%20guidance%20for%20exploratory%20dimensionality%20reduction,https://dl.acm.org/action/doSearch?AllField=Quality-based%20guidance%20for%20exploratory%20dimensionality%20reduction,,,,,
