candidate_id,paper_title,authors,year,doi,source_seed_count,source_seed_notes,source_seed_pdfs,mentions,max_title_keyword_score,max_context_score,confidence,relevance_signals,status,next_action,download_status,downloaded_pdf,resolved_url,source_channel,error,retry_status,retry_url,retry_source,retry_error
pending-ref-097,ClustMe: A Visual Quality Measure for Ranking Monochrome Scatterplots based on Cluster Patterns,"Mostafa M. Abbas, Michaël Aupetit, Michael Sedlmair, and Halima Bensmail",2019,10.1111/cgf.13684,1,papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/jeon25chi (4).pdf,1,2,9,medium,title_keywords=2; body_citation_context=9; doi_found,missing,collect_pdf,missing,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.13684,crossref_doi,http_403,missing,https://zenodo.org/records/10208144,openalex_title,no_pdf_content
pending-ref-102,Combining automated analysis and visualization techniques for effective exploration of high dimensional data,"A. Tatu, G. Albuquerque, M. Eisemann, J. Schneidewind, H. Theisel, M. Magnor, and D. Keim",2009,,1,papers/notes/2021-quantitative-survey-dr-techniques.md,papers/raw/Toward_a_Quantitative_Survey_of_Dimension_Reduction_Techniques (1).pdf,1,1,7,high,title_keywords=1; body_citation_context=7,missing,collect_pdf,missing,,https://kops.uni-konstanz.de/handle/123456789/5750,openalex_title,no_pdf_content,found,https://kops.uni-konstanz.de/server/api/core/bitstreams/4eecf78e-858a-4bf7-9c29-f049d39b71fa/content,semanticscholar_title,
pending-ref-103,Exploratory Projection Pursuit,Jerome H. Friedman,1987,10.1080/01621459.1987.10478427,1,papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/jeon25chi (4).pdf,1,1,7,medium,title_keywords=1; body_citation_context=7; doi_found,missing,collect_pdf,missing,,https://doi.org/10.1080/01621459.1987.10478427,openalex_doi,http_403,missing,https://doi.org/10.2307/2289161,openalex_title,http_403
pending-ref-105,Projection inspector: Assessment and synthesis of multidimensional projections,"P. Pagliosa, F. Paulovich, R. Minghim, H. Levkowitz, and L. G. Nonato",2015,,1,papers/notes/2019-mdp-visual-analytics-survey.md,papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf,1,2,6,high,title_keywords=2; body_citation_context=6,missing,collect_pdf,missing,,http://www.producao.usp.br/handle/BDPI/49858,openalex_title,http_404,found,https://link.springer.com/content/pdf/10.1186/s13321-022-00600-z.pdf?error=cookies_not_supported&code=c4ffe467-3f0c-4936-866c-545c8c1de104,openalex_title,
pending-ref-106,CommentVis: Unveiling Comment Insights Through Interactive Visualization Tool,"Guangjing Yan, Jinhwa Jang, and Jinwook Seo",2024,,1,papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/jeon25chi (4).pdf,1,1,6,medium,title_keywords=1; body_citation_context=6,missing,collect_pdf,missing,,https://ieeexplore.ieee.org/document/10541423/,openalex_title,no_pdf_content,missing,https://ieeexplore.ieee.org/document/10541423/,openalex_title,no_pdf_content
pending-ref-107,Visual analytics to check marine containers in the eritr@c project,"M. Aupetit, L. Allano, I. Espagnon, and G. Sannie",2010,,1,papers/notes/2019-mdp-visual-analytics-survey.md,papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf,1,1,6,high,title_keywords=1; body_citation_context=6,missing,collect_pdf,missing,,https://dblp.uni-trier.de/db/conf/vissym/vast2010.html#AupetitAES10,openalex_title,no_pdf_content,found,https://diglib.eg.org/server/api/core/bitstreams/7d095718-4a5f-4aa4-97f6-173f10b8f68c/content,openalex_title,
pending-ref-109,Evaluating multi-dimensional visualizations for understanding fuzzy clusters,"Y . Zhao, F. Luo, M. Chen, Y . Wang, J. Xia, F. Zhou, Y . Wang, Y . Chen, and W. Chen",2018,,1,papers/notes/2022-revisiting-dr-visual-cluster-analysis.md,papers/raw/Revisiting_Dimensionality_Reduction_Techniques_for_Visual_Cluster_Analysis_An_Empirical_Study.pdf,1,1,5,medium,title_keywords=1; body_citation_context=5,missing,collect_pdf,missing,,https://pubmed.ncbi.nlm.nih.gov/30136966/,openalex_title,no_pdf_content,found,https://link.springer.com/content/pdf/10.1186/1471-2105-9-559.pdf?error=cookies_not_supported&code=877b1de8-ab39-44bb-af5f-bf2d03ebd18a,openalex_title,
pending-ref-115,Non-negative matrix factorization on manifold,"D. Cai, X. He, X. Wu, and J. Han",2008,,1,papers/notes/2022-revisiting-dr-visual-cluster-analysis.md,papers/raw/Revisiting_Dimensionality_Reduction_Techniques_for_Visual_Cluster_Analysis_An_Empirical_Study.pdf,1,1,4,medium,title_keywords=1; body_citation_context=4,missing,collect_pdf,missing,,https://ieeexplore.ieee.org/document/4781101/,openalex_title,no_pdf_content,missing,https://link.springer.com/article/10.1007/s13042-021-01307-7?error=cookies_not_supported&code=4411f1a3-3769-414d-920b-1156f02eb88a,openalex_title,no_pdf_content
pending-ref-116,Views on Visualization,Jarke J. van Wijk,2006,,1,papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/jeon25chi (4).pdf,1,1,4,medium,title_keywords=1; body_citation_context=4,missing,collect_pdf,missing,,https://research.tue.nl/nl/publications/views-on-visualization/,openalex_title,no_pdf_content,missing,https://research.tue.nl/nl/publications/views-on-visualization/,openalex_title,no_pdf_content
pending-ref-117,Random projection for high dimensional data clustering: A cluster ensemble approach,X. Z. Fern and C. E. Brodley,2003,,1,papers/notes/2017-random-projection-survey.md,papers/raw/1706.04371v4.pdf,1,1,4,high,title_keywords=1; body_citation_context=4,missing,collect_pdf,missing,,https://dblp.uni-trier.de/db/conf/icml/icml2003.html,openalex_title,no_pdf_content,found,https://arxiv.org/pdf/1409.1556,openalex_title,
