candidate_id,paper_title,authors,year,doi,source_seed_count,source_seed_notes,source_seed_pdfs,mentions,max_title_keyword_score,max_context_score,confidence,relevance_signals,status,next_action,download_status,downloaded_pdf,resolved_url,source_channel,error
pending-ref-003,Visualizing distortions and recovering topology in continuous projection techniques,M. Aupetit,2007,10.1016/j.neucom.2006.11.018,5,papers/notes/2015-perception-based-projection-evaluation.md; papers/notes/2019-mdp-visual-analytics-survey.md; papers/notes/2021-quantitative-survey-dr-techniques.md; papers/notes/2025-critical-analysis-dr-four-domains.md; papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/A_Critical_Analysis_of_the_Usage_of_Dimensionality_Reduction_in_Four_Domains (12).pdf; papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf; papers/raw/Perception-Based_Evaluation_of_Projection_Methods_for_Multidimensional_Data_Visualization (1).pdf; papers/raw/Toward_a_Quantitative_Survey_of_Dimension_Reduction_Techniques (1).pdf; papers/raw/jeon25chi (4).pdf,5,3,12,high,title_keywords=3; body_citation_context=12; doi_found,missing,collect_pdf,missing,,https://doi.org/10.1016/j.neucom.2006.11.018,openalex_doi,http_403
pending-ref-005,Sanity check for class-coloring-based evaluation of dimension reduction techniques,M. Aupetit,2014,10.1145/2669557.2669578,5,papers/notes/2019-mdp-visual-analytics-survey.md; papers/notes/2021-quantitative-survey-dr-techniques.md; papers/notes/2022-revisiting-dr-visual-cluster-analysis.md; papers/notes/2025-critical-analysis-dr-four-domains.md; papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/A_Critical_Analysis_of_the_Usage_of_Dimensionality_Reduction_in_Four_Domains (12).pdf; papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf; papers/raw/Revisiting_Dimensionality_Reduction_Techniques_for_Visual_Cluster_Analysis_An_Empirical_Study.pdf; papers/raw/Toward_a_Quantitative_Survey_of_Dimension_Reduction_Techniques (1).pdf; papers/raw/jeon25chi (4).pdf,5,2,11,high,title_keywords=2; body_citation_context=11; doi_found,missing,collect_pdf,missing,,https://doi.org/10.1145/2669557.2669578,openalex_doi,http_403
pending-ref-011,Least Square Projection: A Fast High-Precision Multidimensional Projection Technique and Its Application to Document Mapping,"Fernando V. Paulovich, Luis G. Nonato, Rosane Minghim, and Haim Levkowitz",2008,10.1109/TVCG.2007.70443,4,papers/notes/2015-perception-based-projection-evaluation.md; papers/notes/2019-mdp-visual-analytics-survey.md; papers/notes/2021-quantitative-survey-dr-techniques.md; papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf; papers/raw/Perception-Based_Evaluation_of_Projection_Methods_for_Multidimensional_Data_Visualization (1).pdf; papers/raw/Toward_a_Quantitative_Survey_of_Dimension_Reduction_Techniques (1).pdf; papers/raw/jeon25chi (4).pdf,4,2,6,high,title_keywords=2; body_citation_context=6; doi_found,missing,collect_pdf,missing,,http://producao.usp.br/handle/BDPI/28795,openalex_doi,http_404
pending-ref-017,Graph-based measures to assist user assessment of multidimensional projections,"Robson Motta, Rosane Minghim, Alneu de Andrade Lopes, and Maria Cristina F. Oliveira",2015,10.1016/j.neucom.2014.09.063,3,papers/notes/2019-mdp-visual-analytics-survey.md; papers/notes/2021-quantitative-survey-dr-techniques.md; papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf; papers/raw/Toward_a_Quantitative_Survey_of_Dimension_Reduction_Techniques (1).pdf; papers/raw/jeon25chi (4).pdf,3,2,11,high,title_keywords=2; body_citation_context=11; doi_found,missing,collect_pdf,missing,,http://www.producao.usp.br/handle/BDPI/49848,openalex_doi,http_404
pending-ref-020,Shift-invariant similarities circumvent distance concentration in stochastic neighbor embedding and variants,John A. Lee and Michel Verleysen,2011,10.1016/j.procs.2011.04.056,3,papers/notes/2019-mdp-visual-analytics-survey.md; papers/notes/2025-jeon-reliable-va-survey.md; papers/notes/2506.08725v2-stop-misusing-tsne-umap.md,papers/raw/2506.08725v2.pdf; papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf; papers/raw/jeon25chi (4).pdf,3,2,9,high,title_keywords=2; body_citation_context=9; doi_found,missing,collect_pdf,missing,,http://hdl.handle.net/2078.1/82315,openalex_doi,http_500
pending-ref-025,Data-driven evaluation of visual quality measures,M. Sedlmair and M. Aupetit,2015,,3,papers/notes/2019-mdp-visual-analytics-survey.md; papers/notes/2021-quantitative-survey-dr-techniques.md; papers/notes/2025-critical-analysis-dr-four-domains.md,papers/raw/A_Critical_Analysis_of_the_Usage_of_Dimensionality_Reduction_in_Four_Domains (12).pdf; papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf; papers/raw/Toward_a_Quantitative_Survey_of_Dimension_Reduction_Techniques (1).pdf,3,2,7,high,title_keywords=2; body_citation_context=7,missing,collect_pdf,missing,,https://dl.acm.org/doi/10.5555/2858877.2858899,openalex_title,http_403
pending-ref-033,A Global Geometric Framework for Nonlinear Dimensionality Reduction,"Joshua B. Tenenbaum, Vin de Silva, and John C. Langford",2000,10.1126/science.290.5500.2319,3,papers/notes/2019-mdp-visual-analytics-survey.md; papers/notes/2021-quantitative-survey-dr-techniques.md; papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf; papers/raw/Toward_a_Quantitative_Survey_of_Dimension_Reduction_Techniques (1).pdf; papers/raw/jeon25chi (4).pdf,3,1,3,high,title_keywords=1; body_citation_context=3; doi_found,missing,collect_pdf,missing,,https://pubmed.ncbi.nlm.nih.gov/11125149/,openalex_doi,no_pdf_content
pending-ref-163,Neighborhood Preserving Embedding Proc,"[He2005] He, X.; Cai, D.; Yan, S. & Zhang, H. J",2005,,1,papers/notes/2014-sorzano-survey-dr-techniques.md,papers/raw/1403.2877v1.pdf,1,3,0,medium,title_keywords=3,missing,collect_pdf,missing,,,,no_candidate_url
pending-ref-172,Agreement Analysis of Quality Measures for Dimensionality Reduction,Bastian Rieck and Heike Leitte,2017,10.1007/978-3-319-44684-4_6,1,papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/jeon25chi (4).pdf,1,2,0,medium,title_keywords=2; doi_found,missing,collect_pdf,missing,,https://link.springer.com/chapter/10.1007/978-3-319-44684-4_6?error=cookies_not_supported&code=8451d976-42c4-4870-9f22-824ac2299ae3,doi_landing,no_pdf_content
pending-ref-174,Quality-based guidance for exploratory dimensionality reduction,"Sara Johansson Fernstad, Jane Shaw, and Jimmy Johansson",2013,10.1177/1473871612460526,1,papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/jeon25chi (4).pdf,1,2,0,medium,title_keywords=2; doi_found,missing,collect_pdf,missing,,https://journals.sagepub.com/doi/pdf/10.1177/1473871612460526,crossref_doi,http_403
