candidate_id,title,source_pdf,relevant,reason
,1-s2.0-S0031320399000783-main,papers/raw/pending-references/1-s2.0-S0031320399000783-main.pdf,true,body_core_terms
,1-s2.0-S0167865510001364-main,papers/raw/pending-references/1-s2.0-S0167865510001364-main.pdf,true,body_core_terms
,1-s2.0-S0925231206004814-main,papers/raw/pending-references/1-s2.0-S0925231206004814-main.pdf,true,body_core_terms
,1-s2.0-S0925231214012867-main,papers/raw/pending-references/1-s2.0-S0925231214012867-main.pdf,true,body_core_terms
,1-s2.0-S0925231214012909-main,papers/raw/pending-references/1-s2.0-S0925231214012909-main.pdf,true,body_core_terms
,1-s2.0-S1476927116304108-main,papers/raw/pending-references/1-s2.0-S1476927116304108-main.pdf,true,body_core_terms
,1-s2.0-S1877050911001141-main,papers/raw/pending-references/1-s2.0-S1877050911001141-main.pdf,true,body_core_terms
,10.5923.j.ajsp.20130303.01,papers/raw/pending-references/10.5923.j.ajsp.20130303.01.pdf,true,body_core_terms
,1403.0700v1,papers/raw/pending-references/1403.0700v1.pdf,true,body_core_terms
,2669557.2669578,papers/raw/pending-references/2669557.2669578.pdf,true,body_core_terms
,72608,papers/raw/pending-references/72608.pdf,true,body_core_terms
,Clustered_Nystrm_Method_for_Large_Scale_Manifold_Learning_and_Dimension_Reduction,papers/raw/pending-references/Clustered_Nystrm_Method_for_Large_Scale_Manifold_Learning_and_Dimension_Reduction.pdf,true,body_core_terms
,Computer Graphics Forum - 2015 - Rieck - Persistent Homology for the Evaluation of Dimensionality Reduction Schemes,papers/raw/pending-references/Computer Graphics Forum - 2015 - Rieck - Persistent Homology for the Evaluation of Dimensionality Reduction Schemes.pdf,true,body_core_terms
,Explainers_Expert_Explorations_with_Crafted_Projections,papers/raw/pending-references/Explainers_Expert_Explorations_with_Crafted_Projections.pdf,true,body_core_terms
,Friedman-ExploratoryProjectionPursuit-1987,papers/raw/pending-references/Friedman-ExploratoryProjectionPursuit-1987.pdf,true,body_core_terms
,Least_Square_Projection_A_Fast_High-Precision_Multidimensional_Projection_Technique_and_Its_Application_to_Document_Mapping (1),papers/raw/pending-references/Least_Square_Projection_A_Fast_High-Precision_Multidimensional_Projection_Technique_and_Its_Application_to_Document_Mapping (1).pdf,true,body_core_terms
,Medical Physics - 2009 - Jamieson - Exploring nonlinear feature space dimension reduction and data representation in breast,papers/raw/pending-references/Medical Physics - 2009 - Jamieson - Exploring nonlinear feature space dimension reduction and data representation in breast.pdf,true,body_core_terms
,Nmap_A_Novel_Neighborhood_Preservation_Space-filling_Algorithm,papers/raw/pending-references/Nmap_A_Novel_Neighborhood_Preservation_Space-filling_Algorithm.pdf,true,body_core_terms
,Orthogonal_Neighborhood_Preserving_Projections_A_Projection-Based_Dimensionality_Reduction_Technique,papers/raw/pending-references/Orthogonal_Neighborhood_Preserving_Projections_A_Projection-Based_Dimensionality_Reduction_Technique.pdf,true,body_core_terms
,Probing_Projections_Interaction_Techniques_for_Interpreting_Arrangements_and_Errors_of_Dimensionality_Reductions,papers/raw/pending-references/Probing_Projections_Interaction_Techniques_for_Interpreting_Arrangements_and_Errors_of_Dimensionality_Reductions.pdf,true,body_core_terms
,TopoInVis2015,papers/raw/pending-references/TopoInVis2015.pdf,true,body_core_terms
,a-geodesic-framework-for-analyzing-molecular-similarities,papers/raw/pending-references/a-geodesic-framework-for-analyzing-molecular-similarities.pdf,true,body_core_terms
